,Sample,Seasonality,Model,AIC,BIC,MSE,MAE,RMSE,Ljung-Box_stat,Ljung-Box_p_value,Time_Elapsed
0,EE.BK,False," ARIMA(0,0,1)(0,0,0)[0]          ",12188.217907593964,12199.809200666634,8.81285965728879,1.8585976164591629,2.968646098356756,0.0013378132695282673,0.9708229764695187,16.92086625099182
1,ASIAN.BK,False," ARIMA(2,0,2)(0,0,0)[0]          ",12376.360771012465,12405.339003694138,9.498587894068127,1.9546599061589078,3.08197791914026,0.922993920427543,0.6303393459717537,42.00814461708069
2,NC.BK,False," ARIMA(1,0,1)(0,0,0)[0]          ",13347.330622691365,13364.717562300368,14.187661694860818,1.666208976179867,3.7666512573983826,0.11007255107647902,0.7400615525644729,18.29008936882019
3,OGC.BK,False," ARIMA(0,0,1)(0,0,0)[0]          ",10492.904646390949,10504.495939463619,4.386510656121172,1.0445256553354918,2.094399831961694,0.0004726019781858794,0.9826558259897096,14.446238994598389
4,APCO.BK,False," ARIMA(1,0,0)(0,0,0)[0]          ",10971.529567296633,10983.120860369303,5.341513824793069,1.2767394211653793,2.3111715264759276,0.0014346644014120759,0.9697857799360088,14.706293106079102
5,BBL.BK,False," ARIMA(0,0,0)(0,0,0)[0]          ",8705.422101379712,8711.217747916047,2.1038691867477417,0.9740354004466036,1.4504720565208218,0.08478248556760148,0.7709180005098836,18.53560495376587
6,AEONTS.BK,False," ARIMA(1,0,2)(0,0,0)[0]          ",10570.711157381254,10593.893743526593,4.521806494528936,1.3172648500373387,2.126453971881107,3.832226216446118e-05,0.999980839052491,21.110491275787354
7,AYUD.BK,False," ARIMA(3,0,2)(0,0,0)[0]          ",9039.21362084886,9073.987500066867,2.403751065878579,0.8451085186972658,1.5504035171137154,0.4680867602902674,0.9258445411285479,45.00308275222778
8,CWT.BK,False," ARIMA(0,0,0)(0,0,0)[0]          ",12466.952060763335,12472.74770729967,9.892064154578,1.9318066072787898,3.1451652030661283,1.4570700821922704,0.2273968772304536,15.682102680206299
9,CTW.BK,False," ARIMA(0,0,1)(0,0,0)[0]          ",10163.985936202014,10175.577229274684,3.831232244421847,1.1537384213292396,1.9573533775028584,0.0005502906019140053,0.9812847221332212,14.544267416000366
10,SITHAI.BK,False," ARIMA(2,0,0)(0,0,0)[0]          ",10636.784057094119,10654.170996703122,4.650293421831082,1.3323096115107715,2.1564538997694993,0.013158215876905424,0.9934424870077329,15.70644736289978
11,UTP.BK,False," ARIMA(0,0,0)(0,0,0)[0]          ",10357.030112031804,10362.825758568139,4.151427279149044,1.3061125737693056,2.0375051605208374,0.0494905879612926,0.8239520709779025,14.746741771697998
