,Sample,Arima_Model,Garch_Model,AIC,LogLikelihood,MSE,RMSE,MAE,DurbinWatson_value,LjungBox_pvalue,Distribution
0,EE.BK," ARIMA(0,0,1)(0,0,0)[0]          ","                             Zero Mean - EGARCH Model Results                             
==========================================================================================
Dep. Variable:                              EE.BK   R-squared:                       0.000
Mean Model:                             Zero Mean   Adj. R-squared:                  0.000
Vol Model:                                 EGARCH   Log-Likelihood:               -3908.83
Distribution:      Generalized Error Distribution   AIC:                           7829.65
Method:                        Maximum Likelihood   BIC:                           7864.42
                                                    No. Observations:                 2430
Date:                            Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                    09:26:02   Df Model:                            0
                               Volatility Model                              
=============================================================================
                 coef    std err          t      P>|t|       95.0% Conf. Int.
-----------------------------------------------------------------------------
omega          0.0249  8.292e-03      2.999  2.711e-03  [8.613e-03,4.112e-02]
alpha[1]       0.1886  5.248e-02      3.593  3.270e-04    [8.570e-02,  0.291]
alpha[2]      -0.0493  5.975e-02     -0.826      0.409    [ -0.166,6.778e-02]
gamma[1]      -0.0113  1.571e-02     -0.718      0.473 [-4.207e-02,1.952e-02]
beta[1]        0.9765  9.106e-03    107.239      0.000      [  0.959,  0.994]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             1.0100      0.103      9.794  1.191e-22 [  0.808,  1.212]
========================================================================

Covariance estimator: robust",7829.6507190826405,-3908.8253595413203,2.091446441667397,1.446183405266219,0.9545710486795785,2.0501893378901075,0.20825450202139711,generalized error
1,ASIAN.BK," ARIMA(2,0,2)(0,0,0)[0]          ","                            Zero Mean - FIGARCH Model Results                             
==========================================================================================
Dep. Variable:                           ASIAN.BK   R-squared:                       0.000
Mean Model:                             Zero Mean   Adj. R-squared:                  0.000
Vol Model:                                FIGARCH   Log-Likelihood:               -4556.85
Distribution:      Generalized Error Distribution   AIC:                           9123.69
Method:                        Maximum Likelihood   BIC:                           9152.67
                                                    No. Observations:                 2430
Date:                            Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                    09:26:11   Df Model:                            0
                            Volatility Model                            
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
omega          0.2753      0.214      1.287      0.198 [ -0.144,  0.694]
phi            0.1134      0.466      0.244      0.808 [ -0.799,  1.026]
d              0.2678  4.346e-02      6.162  7.174e-10 [  0.183,  0.353]
beta           0.2209      0.474      0.466      0.641 [ -0.708,  1.150]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             1.0100  5.949e-02     16.977  1.219e-64 [  0.893,  1.127]
========================================================================

Covariance estimator: robust",9123.694482464152,-4556.847241232076,4.521806494528936,2.126453971881107,1.3172648500373387,1.9999773117942683,0.9954903324582074,generalized error
2,NC.BK," ARIMA(1,0,1)(0,0,0)[0]          ","                          Zero Mean - EGARCH Model Results                          
====================================================================================
Dep. Variable:                        NC.BK   R-squared:                       0.000
Mean Model:                       Zero Mean   Adj. R-squared:                  0.000
Vol Model:                           EGARCH   Log-Likelihood:               -2851.07
Distribution:      Standardized Student's t   AIC:                           5714.14
Method:                  Maximum Likelihood   BIC:                           5748.91
                                              No. Observations:                 2430
Date:                      Mon, Mar 03 2025   Df Residuals:                     2430
Time:                              09:26:14   Df Model:                            0
                            Volatility Model                            
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
omega          0.9374      0.874      1.073      0.283 [ -0.775,  2.650]
alpha[1]       1.5882      1.015      1.565      0.118 [ -0.401,  3.577]
alpha[2]      -0.4439      0.293     -1.512      0.130 [ -1.019,  0.131]
gamma[1]      -0.1751      0.153     -1.146      0.252 [ -0.475,  0.124]
beta[1]        0.8584  5.229e-02     16.414  1.516e-60 [  0.756,  0.961]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             2.0500  6.592e-02     31.100 2.436e-212 [  1.921,  2.179]
========================================================================

Covariance estimator: robust",5714.137638542114,-2851.068819271057,1.6716654540352545,1.292929021267314,0.6710542462009657,2.023936845760451,0.5445661137595821,t
3,OGC.BK," ARIMA(0,0,1)(0,0,0)[0]          ","                          Zero Mean - TARCH/ZARCH Model Results                           
==========================================================================================
Dep. Variable:                             OGC.BK   R-squared:                       0.000
Mean Model:                             Zero Mean   Adj. R-squared:                  0.000
Vol Model:                            TARCH/ZARCH   Log-Likelihood:               -5057.69
Distribution:      Generalized Error Distribution   AIC:                           10127.4
Method:                        Maximum Likelihood   BIC:                           10162.2
                                                    No. Observations:                 2430
Date:                            Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                    09:26:23   Df Model:                            0
                               Volatility Model                              
=============================================================================
                 coef    std err          t      P>|t|       95.0% Conf. Int.
-----------------------------------------------------------------------------
omega          0.0479  2.045e-02      2.341  1.923e-02  [7.793e-03,8.797e-02]
alpha[1]       0.0390  2.959e-02      1.317      0.188 [-1.902e-02,9.697e-02]
alpha[2]   2.2796e-03  3.146e-02  7.247e-02      0.942 [-5.937e-02,6.393e-02]
gamma[1]       0.0424  1.559e-02      2.721  6.511e-03  [1.186e-02,7.298e-02]
beta[1]        0.9335  2.094e-02     44.579      0.000      [  0.892,  0.975]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             1.0238  9.672e-02     10.586  3.464e-26 [  0.834,  1.213]
========================================================================

Covariance estimator: robust",10127.3885236038,-5057.6942618019,4.710906402663947,2.1704622555262154,1.5221842516877035,2.056312933354722,0.16210043410263358,generalized error
4,APCO.BK," ARIMA(1,0,0)(0,0,0)[0]          ","                          Zero Mean - EGARCH Model Results                          
====================================================================================
Dep. Variable:                      APCO.BK   R-squared:                       0.000
Mean Model:                       Zero Mean   Adj. R-squared:                  0.000
Vol Model:                           EGARCH   Log-Likelihood:               -4116.51
Distribution:      Standardized Student's t   AIC:                           8245.02
Method:                  Maximum Likelihood   BIC:                           8279.79
                                              No. Observations:                 2430
Date:                      Mon, Mar 03 2025   Df Residuals:                     2430
Time:                              09:26:28   Df Model:                            0
                               Volatility Model                               
==============================================================================
                 coef    std err          t      P>|t|        95.0% Conf. Int.
------------------------------------------------------------------------------
omega          0.0252  1.326e-02      1.899  5.751e-02  [-8.027e-04,5.116e-02]
alpha[1]       0.2411  5.883e-02      4.098  4.163e-05       [  0.126,  0.356]
alpha[2]      -0.1036  5.983e-02     -1.732  8.332e-02     [ -0.221,1.366e-02]
gamma[1]      -0.0530  2.087e-02     -2.540  1.107e-02 [-9.393e-02,-1.212e-02]
beta[1]        0.9845  1.065e-02     92.470      0.000       [  0.964,  1.005]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             3.8233      0.304     12.565  3.269e-36 [  3.227,  4.420]
========================================================================

Covariance estimator: robust",8245.019748957033,-4116.509874478516,2.5603776327979366,1.6001180058976703,1.051142241247211,2.004558476620308,0.9057785480422851,t
5,BBL.BK," ARIMA(0,0,0)(0,0,0)[0]          ","                           Zero Mean - GJR-GARCH Model Results                            
==========================================================================================
Dep. Variable:                             BBL.BK   R-squared:                       0.000
Mean Model:                             Zero Mean   Adj. R-squared:                  0.000
Vol Model:                              GJR-GARCH   Log-Likelihood:               -4692.83
Distribution:      Generalized Error Distribution   AIC:                           9397.65
Method:                        Maximum Likelihood   BIC:                           9432.43
                                                    No. Observations:                 2430
Date:                            Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                    09:26:35   Df Model:                            0
                               Volatility Model                              
=============================================================================
                 coef    std err          t      P>|t|       95.0% Conf. Int.
-----------------------------------------------------------------------------
omega          0.2515      0.110      2.292  2.190e-02    [3.644e-02,  0.467]
alpha[1]       0.0601  2.866e-02      2.097  3.595e-02    [3.941e-03,  0.116]
alpha[2]       0.0000  3.200e-02      0.000      1.000 [-6.271e-02,6.271e-02]
gamma[1]       0.0707  3.569e-02      1.980  4.768e-02    [7.231e-04,  0.141]
beta[1]        0.8311  5.693e-02     14.599  2.862e-48      [  0.720,  0.943]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             1.1882      0.115     10.359  3.812e-25 [  0.963,  1.413]
========================================================================

Covariance estimator: robust",9397.65345424294,-4692.82672712147,3.250339748156751,1.8028698644541017,1.2996596613982494,2.049723678325569,0.20971764898549955,generalized error
6,AEONTS.BK," ARIMA(1,0,2)(0,0,0)[0]          ","                             Zero Mean - EGARCH Model Results                            
=========================================================================================
Dep. Variable:                         AEONTS.BK   R-squared:                       0.000
Mean Model:                            Zero Mean   Adj. R-squared:                  0.000
Vol Model:                                EGARCH   Log-Likelihood:               -4386.57
Distribution:      Standardized Skew Student's t   AIC:                           8787.15
Method:                       Maximum Likelihood   BIC:                           8827.72
                                                   No. Observations:                 2430
Date:                           Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                   09:26:40   Df Model:                            0
                              Volatility Model                             
===========================================================================
                 coef    std err          t      P>|t|     95.0% Conf. Int.
---------------------------------------------------------------------------
omega          0.1197  4.388e-02      2.727  6.392e-03  [3.366e-02,  0.206]
alpha[1]       0.6096      0.138      4.423  9.714e-06    [  0.339,  0.880]
alpha[2]      -0.3678      0.121     -3.034  2.412e-03    [ -0.605, -0.130]
gamma[1]       0.0582  3.042e-02      1.912  5.586e-02 [-1.455e-03,  0.118]
beta[1]        0.9822  5.887e-03    166.850      0.000    [  0.971,  0.994]
                                Distribution                                
============================================================================
                 coef    std err          t      P>|t|      95.0% Conf. Int.
----------------------------------------------------------------------------
eta            2.2990      0.123     18.675  7.930e-78     [  2.058,  2.540]
lambda         0.0328  1.279e-02      2.565  1.032e-02 [7.739e-03,5.788e-02]
============================================================================

Covariance estimator: robust",8787.146168288878,-4386.573084144439,5.341513824793071,2.311171526475928,1.2767394211653793,2.0013194267779726,0.9697857799360089,skewstudent
7,AYUD.BK," ARIMA(3,0,2)(0,0,0)[0]          ","                             Zero Mean - EGARCH Model Results                            
=========================================================================================
Dep. Variable:                           AYUD.BK   R-squared:                       0.000
Mean Model:                            Zero Mean   Adj. R-squared:                  0.000
Vol Model:                                EGARCH   Log-Likelihood:               -5842.84
Distribution:      Standardized Skew Student's t   AIC:                           11699.7
Method:                       Maximum Likelihood   BIC:                           11740.2
                                                   No. Observations:                 2430
Date:                           Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                   09:26:48   Df Model:                            0
                               Volatility Model                               
==============================================================================
                  coef    std err          t      P>|t|       95.0% Conf. Int.
------------------------------------------------------------------------------
omega           0.5963      0.298      2.002  4.529e-02    [1.251e-02,  1.180]
alpha[1]        1.0187      0.283      3.596  3.235e-04      [  0.463,  1.574]
alpha[2]       -0.2498      0.165     -1.518      0.129    [ -0.572,7.273e-02]
gamma[1]   -4.2810e-03  4.537e-02 -9.436e-02      0.925 [-9.320e-02,8.464e-02]
beta[1]         0.9301  3.075e-02     30.246 5.918e-201      [  0.870,  0.990]
                                Distribution                                
============================================================================
                 coef    std err          t      P>|t|      95.0% Conf. Int.
----------------------------------------------------------------------------
eta            2.1632  9.846e-02     21.970 5.585e-107     [  1.970,  2.356]
lambda         0.0417  1.390e-02      2.999  2.707e-03 [1.444e-02,6.893e-02]
============================================================================

Covariance estimator: robust",11699.670497687917,-5842.835248843959,15.282183039658818,3.9092432822298,2.2765319127325374,2.0193190361354576,0.6077908346157093,skewstudent
8,CWT.BK," ARIMA(0,0,0)(0,0,0)[0]          ","                             Zero Mean - EGARCH Model Results                            
=========================================================================================
Dep. Variable:                            CWT.BK   R-squared:                       0.000
Mean Model:                            Zero Mean   Adj. R-squared:                  0.000
Vol Model:                                EGARCH   Log-Likelihood:               -5584.68
Distribution:      Standardized Skew Student's t   AIC:                           11183.4
Method:                       Maximum Likelihood   BIC:                           11223.9
                                                   No. Observations:                 2430
Date:                           Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                   09:26:55   Df Model:                            0
                               Volatility Model                              
=============================================================================
                 coef    std err          t      P>|t|       95.0% Conf. Int.
-----------------------------------------------------------------------------
omega          0.0707  2.585e-02      2.736  6.224e-03    [2.005e-02,  0.121]
alpha[1]       0.3821  7.751e-02      4.929  8.273e-07      [  0.230,  0.534]
alpha[2]      -0.2375  7.045e-02     -3.371  7.488e-04   [ -0.376,-9.942e-02]
gamma[1]       0.0203  1.558e-02      1.302      0.193 [-1.025e-02,5.081e-02]
beta[1]        0.9879  5.718e-03    172.756      0.000      [  0.977,  0.999]
                               Distribution                               
==========================================================================
                 coef    std err          t      P>|t|    95.0% Conf. Int.
--------------------------------------------------------------------------
eta            2.5015      0.140     17.859  2.454e-71   [  2.227,  2.776]
lambda         0.0812  1.789e-02      4.537  5.711e-06 [4.611e-02,  0.116]
==========================================================================

Covariance estimator: robust",11183.356842899087,-5584.678421449544,9.539770338167418,3.0886518641904948,1.9476071556862715,1.9328945386022673,0.09804575533149044,skewstudent
9,CTW.BK," ARIMA(0,0,1)(0,0,0)[0]          ","                            Zero Mean - FIGARCH Model Results                             
==========================================================================================
Dep. Variable:                             CTW.BK   R-squared:                       0.000
Mean Model:                             Zero Mean   Adj. R-squared:                  0.000
Vol Model:                                FIGARCH   Log-Likelihood:               -3455.55
Distribution:      Generalized Error Distribution   AIC:                           6921.09
Method:                        Maximum Likelihood   BIC:                           6950.07
                                                    No. Observations:                 2430
Date:                            Mon, Mar 03 2025   Df Residuals:                     2430
Time:                                    09:27:05   Df Model:                            0
                            Volatility Model                            
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
omega          0.1763      0.421      0.419      0.675 [ -0.648,  1.001]
phi            0.4496      0.402      1.119      0.263 [ -0.338,  1.237]
d              0.1007      0.164      0.612      0.540 [ -0.222,  0.423]
beta           0.2560      0.363      0.706      0.480 [ -0.455,  0.967]
                              Distribution                              
========================================================================
                 coef    std err          t      P>|t|  95.0% Conf. Int.
------------------------------------------------------------------------
nu             1.0100      0.670      1.507      0.132 [ -0.303,  2.323]
========================================================================

Covariance estimator: robust",6921.092226984996,-3455.546113492498,2.4199576530690465,1.555621307731752,0.8298147099048863,1.9976058713553657,0.9564204231990532,generalized error
