Company,Sector,Symbol_sector,Industry_group
UTP.BK,Paper & Printing Materials,PAPER,Industrials [INDUS]
AP.BK,Property Development,PROP,Property & Construction [PROPCON]
CPN.BK,Property Development,PROP,Property & Construction [PROPCON]
NNCL.BK,Property Development,PROP,Property & Construction [PROPCON]
ROJNA.BK,Property Development,PROP,Property & Construction [PROPCON]
AMATA.BK,Property Development,PROP,Property & Construction [PROPCON]
BEM.BK,Transportation & Logistics,TRANS,Services [SERVICE]
BTS.BK,Transportation & Logistics,TRANS,Services [SERVICE]
RCL.BK,Transportation & Logistics,TRANS,Services [SERVICE]
KWC.BK,Transportation & Logistics,TRANS,Services [SERVICE]
AOT.BK,Transportation & Logistics,TRANS,Services [SERVICE]
BH.BK,Health Care Services,HELTH,Services [SERVICE]
CHG.BK,Health Care Services,HELTH,Services [SERVICE]
RAM.BK,Health Care Services,HELTH,Services [SERVICE]
VIBHA.BK,Health Care Services,HELTH,Services [SERVICE]
BDMS.BK,Health Care Services,HELTH,Services [SERVICE]
BLA.BK,Insurance,INSUR,Financials [FINCIAL]
THREL.BK,Insurance,INSUR,Financials [FINCIAL]
MTI.BK,Insurance,INSUR,Financials [FINCIAL]
KWI.BK,Insurance,INSUR,Financials [FINCIAL]
AYUD.BK,Insurance,INSUR,Financials [FINCIAL]
CPF.BK,Food & Beverage,FOOD,Agro & Food Industry [AGRO]
MINT.BK,Food & Beverage,FOOD,Agro & Food Industry [AGRO]
GLOCON.BK,Food & Beverage,FOOD,Agro & Food Industry [AGRO]
CFRESH.BK,Food & Beverage,FOOD,Agro & Food Industry [AGRO]
ASIAN.BK,Food & Beverage,FOOD,Agro & Food Industry [AGRO]
CPH.BK,Fashion,FASHION,Consumer Products [CONSUMP]
PAF.BK,Fashion,FASHION,Consumer Products [CONSUMP]
TNL.BK,Fashion,FASHION,Consumer Products [CONSUMP]
WACOAL.BK,Fashion,FASHION,Consumer Products [CONSUMP]
NC.BK,Fashion,FASHION,Consumer Products [CONSUMP]
CSR.BK,Tourism & Leisure,TOURISM,Services [SERVICE]
DUSIT.BK,Tourism & Leisure,TOURISM,Services [SERVICE]
LRH.BK,Tourism & Leisure,TOURISM,Services [SERVICE]
SHANG.BK,Tourism & Leisure,TOURISM,Services [SERVICE]
CENTEL.BK,Tourism & Leisure,TOURISM,Services [SERVICE]
